Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Total_Spend,Mahalanobis_Distance,Is_Outlier,Total_Spending,Spending_Tier,Dominant_Category,Diversity_Index,Diversity_Level,Fresh_Pct,Milk_Pct,Grocery_Pct,Frozen_Pct,Detergents_Paper_Pct,Delicassen_Pct,Fresh_to_Total,Grocery_to_Total,Retail_Products_Ratio,Fresh_Products_Ratio,Fresh_Log,Milk_Log,Grocery_Log,Frozen_Log,Detergents_Paper_Log,Delicassen_Log
2,3,12669,9656,7561,214,2674,1338,34112,1.1712274100353879,False,34112,Medium,Fresh,1.417489177662943,Diversified,37.13942307692308,28.30675422138837,22.165220450281424,0.6273452157598499,7.838883677298311,3.9223733583489686,0.3713942307692308,0.22165220450281425,0.3000410412757974,0.3776676829268293,9.446992273315185,9.175438319966918,8.930890984450878,5.3706380281276624,7.891704659330107,7.199678345691172
2,3,7057,9810,9568,1762,3293,1776,33266,0.9176830927183167,False,33266,Medium,Milk,1.5884339362822837,Diversified,21.213851981001625,29.48956892923706,28.762099440870557,5.296699332651957,9.898995971863163,5.338784344375639,0.21213851981001625,0.2876209944087056,0.3866109541273372,0.2651055131365358,8.861917004235215,9.19125948416339,9.166283985779263,7.47477218239787,8.099857910737585,7.482681828154651
2,3,6353,8808,7684,2405,3516,7844,36610,2.876123774229255,False,36610,High,Milk,1.7083210544751115,Diversified,17.353182190658288,24.059000273149415,20.98880087407812,6.5692433761267415,9.603933351543294,21.42583993444414,0.1735318219065829,0.2098880087407812,0.30592734225621415,0.23922425566785033,8.756839814829462,9.083529205109796,8.947025655972697,7.785720896534624,8.165363632473982,8.967631665167133
1,3,13265,1196,4221,6404,507,1788,27381,1.0462267546579573,False,27381,Medium,Fresh,1.367966180565107,Diversified,48.446002702604,4.367992403491472,15.415799276870823,23.388481063511193,1.8516489536539937,6.530075599868522,0.48446002702603996,0.15415799276870823,0.17267448230524818,0.7183448376611519,9.492959650085501,7.087573705557973,8.348064228408266,8.764834214330834,6.230481447578482,7.489412083508719
2,3,22615,5410,7198,3915,1777,5185,46100,1.6510615992446482,False,46100,High,Fresh,1.4714524657401755,Diversified,49.05639913232104,11.7353579175705,15.613882863340564,8.49240780911063,3.854663774403471,11.247288503253797,0.49056399132321044,0.15613882863340564,0.19468546637744036,0.5754880694143167,10.026412899373426,8.596189197642735,8.881697406469304,8.272826003650401,7.48324441607385,8.55371796609861
2,3,9413,8259,5126,666,1795,1451,26710,1.1172436807818171,False,26710,Medium,Fresh,1.479005261398663,Diversified,35.24148259078997,30.921003369524524,19.191314114563834,2.4934481467615126,6.720329464619993,5.432422313740172,0.3524148259078997,0.19191314114563834,0.25911643579183824,0.3773493073755148,9.149953221961088,9.019179866515024,8.5422759717837,6.502790045915623,7.493317248862145,7.280697195384741
2,3,12126,3199,6975,480,3140,545,26465,0.7348456441928952,False,26465,Medium,Fresh,1.3700577233522973,Diversified,45.81900623464954,12.087662951067447,26.35556395238995,1.813716228981674,11.864726997921784,2.059323634989609,0.4581900623464954,0.2635556395238995,0.3822029095031173,0.4763272246363121,9.403189650656792,8.070906088787819,8.850230965588816,6.175867270105761,8.052296499538647,6.302618975744905
2,3,7579,4956,9426,1669,3321,2566,29517,0.8244454414730431,False,29517,Medium,Grocery,1.6338077039264276,Diversified,25.676728664837214,16.79032421994105,31.934139648338245,5.654368668902666,11.251143408883015,8.693295389097807,0.2567672866483721,0.31934139648338244,0.43185283057221263,0.31331097333739877,8.933268478636418,8.508555998020574,9.15133319139615,7.4205789054108005,8.10832229017324,7.8504931808711405
1,3,5963,3648,6192,425,1716,750,18694,0.7748254161426553,False,18694,Low,Grocery,1.4836017204510132,Diversified,31.89793516636354,19.514282657537176,33.12292714239863,2.2734567240825934,9.17941585535466,4.0119824542634,0.3189793516636354,0.3312292714239863,0.4230234299775329,0.34171391890446134,8.69349667588463,8.202208436436448,8.731174900938061,6.054439346269371,7.448333860897476,6.621405651764134
2,3,6006,11093,18881,1159,7425,2098,46662,1.3392632710358008,False,46662,High,Grocery,1.4952485813808023,Diversified,12.871287128712872,23.773091594873776,40.46333204749046,2.483819810552484,15.912305516265912,4.496163902104496,0.12871287128712872,0.40463332047490463,0.5637563756375638,0.15355106939265356,8.700680734850161,9.31415970061518,9.845964366292462,7.05617528410041,8.912742634737025,7.649216319820633
